Year,County,PQI,PQIDescription,Count_ICD10,Population_ICD10,ObsRate_ICD10
2020,Kern,93,Diabetes Composite,"1,761","644,321",273.3
2021,Kern,93,Diabetes Composite,"1,801","651,305",276.5
2022,Kern,93,Diabetes Composite,"1,841","655,754",280.7
2016,Kings,1,Diabetes Short-term Complications,104,"108,591",95.8
2017,Kings,1,Diabetes Short-term Complications,91,"108,704",83.7
2018,Kings,1,Diabetes Short-term Complications,99,"110,152",89.9
2019,Kings,1,Diabetes Short-term Complications,102,"111,551",91.4
2020,Kings,1,Diabetes Short-term Complications,93,"111,628",83.3
2021,Kings,1,Diabetes Short-term Complications,97,"111,603",86.9
2022,Kings,1,Diabetes Short-term Complications,111,"112,177",99.0
2016,Kings,3,Diabetes Long-term Complications,106,"108,591",97.6
2017,Kings,3,Diabetes Long-term Complications,88,"108,704",81.0
2018,Kings,3,Diabetes Long-term Complications,113,"110,152",102.6
2019,Kings,3,Diabetes Long-term Complications,113,"111,551",101.3
2020,Kings,3,Diabetes Long-term Complications,107,"111,628",95.9
2021,Kings,3,Diabetes Long-term Complications,109,"111,603",97.7
2022,Kings,3,Diabetes Long-term Complications,120,"112,177",107.0
2016,Kings,14,Uncontrolled Diabetes,46,"108,591",42.4
2017,Kings,14,Uncontrolled Diabetes,40,"108,704",36.8
2018,Kings,14,Uncontrolled Diabetes,32,"110,152",29.1
2019,Kings,14,Uncontrolled Diabetes,43,"111,551",38.5
2020,Kings,14,Uncontrolled Diabetes,28,"111,628",25.1
2021,Kings,14,Uncontrolled Diabetes,40,"111,603",35.8
2022,Kings,14,Uncontrolled Diabetes,36,"112,177",32.1
2016,Kings,93,Diabetes Composite,274,"108,591",252.3
2017,Kings,93,Diabetes Composite,239,"108,704",219.9
2018,Kings,93,Diabetes Composite,266,"110,152",241.5
2019,Kings,93,Diabetes Composite,278,"111,551",249.2
2020,Kings,93,Diabetes Composite,245,"111,628",219.5
2021,Kings,93,Diabetes Composite,265,"111,603",237.4
2022,Kings,93,Diabetes Composite,288,"112,177",256.7
2016,Lake,1,Diabetes Short-term Complications,72,"50,676",142.1
2017,Lake,1,Diabetes Short-term Complications,38,"50,717",74.9
2018,Lake,1,Diabetes Short-term Complications,47,"50,861",92.4
2019,Lake,1,Diabetes Short-term Complications,58,"50,831",114.1
2020,Lake,1,Diabetes Short-term Complications,59,"53,524",110.2
2021,Lake,1,Diabetes Short-term Complications,47,"53,734",87.5
2022,Lake,1,Diabetes Short-term Complications,44,"53,338",82.5
2016,Lake,3,Diabetes Long-term Complications,69,"50,676",136.2
2017,Lake,3,Diabetes Long-term Complications,68,"50,717",134.1
2018,Lake,3,Diabetes Long-term Complications,67,"50,861",131.7
2019,Lake,3,Diabetes Long-term Complications,51,"50,831",100.3
2020,Lake,3,Diabetes Long-term Complications,50,"53,524",93.4
2021,Lake,3,Diabetes Long-term Complications,65,"53,734",121.0
2022,Lake,3,Diabetes Long-term Complications,62,"53,338",116.2
2016,Lake,14,Uncontrolled Diabetes,20,"50,676",39.5
2017,Lake,14,Uncontrolled Diabetes,12,"50,717",23.7
2018,Lake,14,Uncontrolled Diabetes,16,"50,861",31.5
2019,Lake,14,Uncontrolled Diabetes,14,"50,831",27.5
2020,Lake,14,Uncontrolled Diabetes,8,"53,524",14.9
2021,Lake,14,Uncontrolled Diabetes,13,"53,734",24.2
2022,Lake,14,Uncontrolled Diabetes,13,"53,338",24.4
2016,Lake,93,Diabetes Composite,172,"50,676",339.4
2017,Lake,93,Diabetes Composite,119,"50,717",234.6
2018,Lake,93,Diabetes Composite,137,"50,861",269.4
2019,Lake,93,Diabetes Composite,129,"50,831",253.8
2020,Lake,93,Diabetes Composite,120,"53,524",224.2
2021,Lake,93,Diabetes Composite,134,"53,734",249.4
2022,Lake,93,Diabetes Composite,127,"53,338",238.1
2016,Lassen,1,Diabetes Short-term Complications,10,"25,378",39.4
2017,Lassen,1,Diabetes Short-term Complications,3,"25,575",11.7
2018,Lassen,1,Diabetes Short-term Complications,7,"25,359",27.6
2019,Lassen,1,Diabetes Short-term Complications,4,"25,378",15.8
2020,Lassen,1,Diabetes Short-term Complications,6,"26,785",22.4
2021,Lassen,1,Diabetes Short-term Complications,9,"26,258",34.3
2022,Lassen,1,Diabetes Short-term Complications,11,"24,446",45.0
2016,Lassen,3,Diabetes Long-term Complications,34,"25,378",134.0
2017,Lassen,3,Diabetes Long-term Complications,34,"25,575",132.9
2018,Lassen,3,Diabetes Long-term Complications,37,"25,359",145.9
2019,Lassen,3,Diabetes Long-term Complications,18,"25,378",70.9
2020,Lassen,3,Diabetes Long-term Complications,6,"26,785",22.4
2021,Lassen,3,Diabetes Long-term Complications,11,"26,258",41.9
2022,Lassen,3,Diabetes Long-term Complications,16,"24,446",65.5
2016,Lassen,14,Uncontrolled Diabetes,6,"25,378",23.6
2017,Lassen,14,Uncontrolled Diabetes,5,"25,575",19.6
2018,Lassen,14,Uncontrolled Diabetes,3,"25,359",11.8
2019,Lassen,14,Uncontrolled Diabetes,6,"25,378",23.6
2020,Lassen,14,Uncontrolled Diabetes,5,"26,785",18.7
2021,Lassen,14,Uncontrolled Diabetes,3,"26,258",11.4
2022,Lassen,14,Uncontrolled Diabetes,1,"24,446",4.1
2016,Lassen,93,Diabetes Composite,52,"25,378",204.9
2017,Lassen,93,Diabetes Composite,43,"25,575",168.1
2018,Lassen,93,Diabetes Composite,48,"25,359",189.3
2019,Lassen,93,Diabetes Composite,29,"25,378",114.3
2020,Lassen,93,Diabetes Composite,17,"26,785",63.5
2021,Lassen,93,Diabetes Composite,23,"26,258",87.6
2022,Lassen,93,Diabetes Composite,28,"24,446",114.5
2016,Los Angeles,1,Diabetes Short-term Complications,"4,475","7,844,956",57.0
2017,Los Angeles,1,Diabetes Short-term Complications,"4,535","7,870,676",57.6
2018,Los Angeles,1,Diabetes Short-term Complications,"4,448","7,879,584",56.4
2019,Los Angeles,1,Diabetes Short-term Complications,"4,486","7,871,889",57.0
2020,Los Angeles,1,Diabetes Short-term Complications,"4,579","7,884,705",58.1
2021,Los Angeles,1,Diabetes Short-term Complications,"4,848","7,772,371",62.4
2022,Los Angeles,1,Diabetes Short-term Complications,"4,895","7,737,357",63.3
2016,Los Angeles,3,Diabetes Long-term Complications,"6,795","7,844,956",86.6
2017,Los Angeles,3,Diabetes Long-term Complications,"7,998","7,870,676",101.6
2018,Los Angeles,3,Diabetes Long-term Complications,"7,875","7,879,584",99.9
2019,Los Angeles,3,Diabetes Long-term Complications,"8,340","7,871,889",105.9
2020,Los Angeles,3,Diabetes Long-term Complications,"6,955","7,884,705",88.2
2021,Los Angeles,3,Diabetes Long-term Complications,"7,416","7,772,371",95.4
2022,Los Angeles,3,Diabetes Long-term Complications,"8,312","7,737,357",107.4
2016,Los Angeles,14,Uncontrolled Diabetes,"3,238","7,844,956",41.3
2017,Los Angeles,14,Uncontrolled Diabetes,"3,135","7,870,676",39.8
2018,Los Angeles,14,Uncontrolled Diabetes,"2,943","7,879,584",37.3
2019,Los Angeles,14,Uncontrolled Diabetes,"2,895","7,871,889",36.8
2020,Los Angeles,14,Uncontrolled Diabetes,"2,367","7,884,705",30.0
2021,Los Angeles,14,Uncontrolled Diabetes,"2,456","7,772,371",31.6
2022,Los Angeles,14,Uncontrolled Diabetes,"2,494","7,737,357",32.2
2016,Los Angeles,93,Diabetes Composite,"15,408","7,844,956",196.4
2017,Los Angeles,93,Diabetes Composite,"16,518","7,870,676",209.9
2018,Los Angeles,93,Diabetes Composite,"16,099","7,879,584",204.3
2019,Los Angeles,93,Diabetes Composite,"16,630","7,871,889",211.3
2020,Los Angeles,93,Diabetes Composite,"14,854","7,884,705",188.4
2021,Los Angeles,93,Diabetes Composite,"15,878","7,772,371",204.3
2022,Los Angeles,93,Diabetes Composite,"16,960","7,737,357",219.2
2016,Madera,1,Diabetes Short-term Complications,80,"111,156",72.0
2017,Madera,1,Diabetes Short-term Complications,71,"112,306",63.2
2018,Madera,1,Diabetes Short-term Complications,76,"113,445",67.0
2019,Madera,1,Diabetes Short-term Complications,83,"113,829",72.9
2020,Madera,1,Diabetes Short-term Complications,79,"113,532",69.6
2021,Madera,1,Diabetes Short-term Complications,72,"115,760",62.2
2022,Madera,1,Diabetes Short-term Complications,87,"116,890",74.4
2016,Madera,3,Diabetes Long-term Complications,103,"111,156",92.7
2017,Madera,3,Diabetes Long-term Complications,126,"112,306",112.2
2018,Madera,3,Diabetes Long-term Complications,128,"113,445",112.8
2019,Madera,3,Diabetes Long-term Complications,127,"113,829",111.6
2020,Madera,3,Diabetes Long-term Complications,107,"113,532",94.2
2021,Madera,3,Diabetes Long-term Complications,132,"115,760",114.0
2022,Madera,3,Diabetes Long-term Complications,183,"116,890",156.6
2016,Madera,14,Uncontrolled Diabetes,34,"111,156",30.6
2017,Madera,14,Uncontrolled Diabetes,29,"112,306",25.8
2018,Madera,14,Uncontrolled Diabetes,24,"113,445",21.2
2019,Madera,14,Uncontrolled Diabetes,23,"113,829",20.2
2020,Madera,14,Uncontrolled Diabetes,24,"113,532",21.1
2021,Madera,14,Uncontrolled Diabetes,21,"115,760",18.1
2022,Madera,14,Uncontrolled Diabetes,22,"116,890",18.8
2016,Madera,93,Diabetes Composite,229,"111,156",206.0
2017,Madera,93,Diabetes Composite,242,"112,306",215.5
2018,Madera,93,Diabetes Composite,242,"113,445",213.3
2019,Madera,93,Diabetes Composite,261,"113,829",229.3
2020,Madera,93,Diabetes Composite,234,"113,532",206.1
2021,Madera,93,Diabetes Composite,258,"115,760",222.9
2022,Madera,93,Diabetes Composite,320,"116,890",273.8
2016,Marin,1,Diabetes Short-term Complications,69,"207,330",33.3
2017,Marin,1,Diabetes Short-term Complications,55,"207,121",26.6
2018,Marin,1,Diabetes Short-term Complications,52,"207,824",25.0
2019,Marin,1,Diabetes Short-term Complications,55,"207,790",26.5
2020,Marin,1,Diabetes Short-term Complications,54,"209,991",25.7
2021,Marin,1,Diabetes Short-term Complications,52,"209,428",24.8
2022,Marin,1,Diabetes Short-term Complications,68,"207,716",32.7
2016,Marin,3,Diabetes Long-term Complications,62,"207,330",29.9
2017,Marin,3,Diabetes Long-term Complications,44,"207,121",21.2
2018,Marin,3,Diabetes Long-term Complications,72,"207,824",34.6
2019,Marin,3,Diabetes Long-term Complications,64,"207,790",30.8
2020,Marin,3,Diabetes Long-term Complications,58,"209,991",27.6
2021,Marin,3,Diabetes Long-term Complications,65,"209,428",31.0
2022,Marin,3,Diabetes Long-term Complications,73,"207,716",35.1
2016,Marin,14,Uncontrolled Diabetes,31,"207,330",15.0
2017,Marin,14,Uncontrolled Diabetes,29,"207,121",14.0
2018,Marin,14,Uncontrolled Diabetes,30,"207,824",14.4
2019,Marin,14,Uncontrolled Diabetes,24,"207,790",11.6
2020,Marin,14,Uncontrolled Diabetes,32,"209,991",15.2
2021,Marin,14,Uncontrolled Diabetes,26,"209,428",12.4
2022,Marin,14,Uncontrolled Diabetes,32,"207,716",15.4
2016,Marin,93,Diabetes Composite,168,"207,330",81.0
2017,Marin,93,Diabetes Composite,133,"207,121",64.2
2018,Marin,93,Diabetes Composite,160,"207,824",77.0
2019,Marin,93,Diabetes Composite,153,"207,790",73.6
2020,Marin,93,Diabetes Composite,156,"209,991",74.3
2021,Marin,93,Diabetes Composite,152,"209,428",72.6
2022,Marin,93,Diabetes Composite,187,"207,716",90.0
2016,Mariposa,1,Diabetes Short-term Complications,6,"14,636",41.0
2017,Mariposa,1,Diabetes Short-term Complications,6,"14,614",41.1
2018,Mariposa,1,Diabetes Short-term Complications,7,"14,527",48.2
2019,Mariposa,1,Diabetes Short-term Complications,11,"14,338",76.7
2020,Mariposa,1,Diabetes Short-term Complications,12,"14,229",84.3
2021,Mariposa,1,Diabetes Short-term Complications,9,"14,120",63.7
2022,Mariposa,1,Diabetes Short-term Complications,5,"14,037",35.6
2016,Mariposa,3,Diabetes Long-term Complications,9,"14,636",61.5
2017,Mariposa,3,Diabetes Long-term Complications,5,"14,614",34.2
2018,Mariposa,3,Diabetes Long-term Complications,12,"14,527",82.6
2019,Mariposa,3,Diabetes Long-term Complications,11,"14,338",76.7
2020,Mariposa,3,Diabetes Long-term Complications,13,"14,229",91.4
2021,Mariposa,3,Diabetes Long-term Complications,9,"14,120",63.7
2022,Mariposa,3,Diabetes Long-term Complications,11,"14,037",78.4
2016,Mariposa,14,Uncontrolled Diabetes,4,"14,636",27.3
2017,Mariposa,14,Uncontrolled Diabetes,2,"14,614",13.7
2018,Mariposa,14,Uncontrolled Diabetes,4,"14,527",27.5
2019,Mariposa,14,Uncontrolled Diabetes,1,"14,338",7.0
2020,Mariposa,14,Uncontrolled Diabetes,3,"14,229",21.1
2021,Mariposa,14,Uncontrolled Diabetes,2,"14,120",14.2
2022,Mariposa,14,Uncontrolled Diabetes,6,"14,037",42.7
2016,Mariposa,93,Diabetes Composite,20,"14,636",136.6
2017,Mariposa,93,Diabetes Composite,14,"14,614",95.8
2018,Mariposa,93,Diabetes Composite,25,"14,527",172.1
2019,Mariposa,93,Diabetes Composite,27,"14,338",188.3
2020,Mariposa,93,Diabetes Composite,31,"14,229",217.9
2021,Mariposa,93,Diabetes Composite,21,"14,120",148.7
2022,Mariposa,93,Diabetes Composite,24,"14,037",171.0
2016,Mendocino,1,Diabetes Short-term Complications,48,"68,410",70.2
2017,Mendocino,1,Diabetes Short-term Complications,67,"68,784",97.4
2018,Mendocino,1,Diabetes Short-term Complications,70,"68,876",101.6
2019,Mendocino,1,Diabetes Short-term Complications,62,"68,548",90.4
2020,Mendocino,1,Diabetes Short-term Complications,64,"71,994",88.9
2021,Mendocino,1,Diabetes Short-term Complications,52,"71,916",72.3
2022,Mendocino,1,Diabetes Short-term Complications,47,"71,066",66.1
2016,Mendocino,3,Diabetes Long-term Complications,47,"68,410",68.7
2017,Mendocino,3,Diabetes Long-term Complications,59,"68,784",85.8
2018,Mendocino,3,Diabetes Long-term Complications,44,"68,876",63.9
2019,Mendocino,3,Diabetes Long-term Complications,61,"68,548",89.0
2020,Mendocino,3,Diabetes Long-term Complications,61,"71,994",84.7
2021,Mendocino,3,Diabetes Long-term Complications,49,"71,916",68.1
2022,Mendocino,3,Diabetes Long-term Complications,54,"71,066",76.0
2016,Mendocino,14,Uncontrolled Diabetes,21,"68,410",30.7
2017,Mendocino,14,Uncontrolled Diabetes,20,"68,784",29.1
2018,Mendocino,14,Uncontrolled Diabetes,25,"68,876",36.3
2019,Mendocino,14,Uncontrolled Diabetes,22,"68,548",32.1
2020,Mendocino,14,Uncontrolled Diabetes,26,"71,994",36.1
2021,Mendocino,14,Uncontrolled Diabetes,13,"71,916",18.1
2022,Mendocino,14,Uncontrolled Diabetes,7,"71,066",9.8
2016,Mendocino,93,Diabetes Composite,131,"68,410",191.5
2017,Mendocino,93,Diabetes Composite,153,"68,784",222.4
2018,Mendocino,93,Diabetes Composite,147,"68,876",213.4
2019,Mendocino,93,Diabetes Composite,156,"68,548",227.6
2020,Mendocino,93,Diabetes Composite,157,"71,994",218.1
2021,Mendocino,93,Diabetes Composite,123,"71,916",171.0
2022,Mendocino,93,Diabetes Composite,117,"71,066",164.6
2016,Merced,1,Diabetes Short-term Complications,211,"187,379",112.6
2017,Merced,1,Diabetes Short-term Complications,176,"190,075",92.6
2018,Merced,1,Diabetes Short-term Complications,250,"193,011",129.5
2019,Merced,1,Diabetes Short-term Complications,249,"196,051",127.0
2020,Merced,1,Diabetes Short-term Complications,214,"199,655",107.2
2021,Merced,1,Diabetes Short-term Complications,293,"201,787",145.2
2022,Merced,1,Diabetes Short-term Complications,235,"207,099",113.5
2016,Merced,3,Diabetes Long-term Complications,211,"187,379",112.6
2017,Merced,3,Diabetes Long-term Complications,274,"190,075",144.2
2018,Merced,3,Diabetes Long-term Complications,291,"193,011",150.8
2019,Merced,3,Diabetes Long-term Complications,275,"196,051",140.3
2020,Merced,3,Diabetes Long-term Complications,281,"199,655",140.7
2021,Merced,3,Diabetes Long-term Complications,315,"201,787",156.1
2022,Merced,3,Diabetes Long-term Complications,316,"207,099",152.6
2016,Merced,14,Uncontrolled Diabetes,67,"187,379",35.8
2017,Merced,14,Uncontrolled Diabetes,74,"190,075",38.9
2018,Merced,14,Uncontrolled Diabetes,91,"193,011",47.1
2019,Merced,14,Uncontrolled Diabetes,72,"196,051",36.7
2020,Merced,14,Uncontrolled Diabetes,50,"199,655",25.0
2021,Merced,14,Uncontrolled Diabetes,100,"201,787",49.6
2022,Merced,14,Uncontrolled Diabetes,67,"207,099",32.4
2016,Merced,93,Diabetes Composite,522,"187,379",278.6
2017,Merced,93,Diabetes Composite,554,"190,075",291.5
2018,Merced,93,Diabetes Composite,658,"193,011",340.9
2019,Merced,93,Diabetes Composite,634,"196,051",323.4
2020,Merced,93,Diabetes Composite,588,"199,655",294.5
2021,Merced,93,Diabetes Composite,766,"201,787",379.6
2022,Merced,93,Diabetes Composite,680,"207,099",328.3
2016,Modoc,1,Diabetes Short-term Complications,3,"7,172",41.8
2017,Modoc,1,Diabetes Short-term Complications,4,"7,115",56.2
2018,Modoc,1,Diabetes Short-term Complications,11,"7,066",155.7
2019,Modoc,1,Diabetes Short-term Complications,10,"7,114",140.6
2020,Modoc,1,Diabetes Short-term Complications,9,"6,998",128.6
2021,Modoc,1,Diabetes Short-term Complications,4,"7,005",57.1
2022,Modoc,1,Diabetes Short-term Complications,2,"6,957",28.7
2016,Modoc,3,Diabetes Long-term Complications,4,"7,172",55.8
2017,Modoc,3,Diabetes Long-term Complications,3,"7,115",42.2
2018,Modoc,3,Diabetes Long-term Complications,5,"7,066",70.8
2019,Modoc,3,Diabetes Long-term Complications,4,"7,114",56.2
2020,Modoc,3,Diabetes Long-term Complications,5,"6,998",71.4
2021,Modoc,3,Diabetes Long-term Complications,5,"7,005",71.4
2022,Modoc,3,Diabetes Long-term Complications,2,"6,957",28.7
2016,Modoc,14,Uncontrolled Diabetes,4,"7,172",55.8
2017,Modoc,14,Uncontrolled Diabetes,0,"7,115",0.0
2018,Modoc,14,Uncontrolled Diabetes,2,"7,066",28.3
2019,Modoc,14,Uncontrolled Diabetes,1,"7,114",14.1
2020,Modoc,14,Uncontrolled Diabetes,4,"6,998",57.2
2021,Modoc,14,Uncontrolled Diabetes,2,"7,005",28.6
2022,Modoc,14,Uncontrolled Diabetes,1,"6,957",14.4
2016,Modoc,93,Diabetes Composite,12,"7,172",167.3
2017,Modoc,93,Diabetes Composite,7,"7,115",98.4
2018,Modoc,93,Diabetes Composite,20,"7,066",283.0
2019,Modoc,93,Diabetes Composite,16,"7,114",224.9
2020,Modoc,93,Diabetes Composite,18,"6,998",257.2
2021,Modoc,93,Diabetes Composite,11,"7,005",157.0
2022,Modoc,93,Diabetes Composite,5,"6,957",71.9
2016,Mono,1,Diabetes Short-term Complications,3,"11,591",25.9
2017,Mono,1,Diabetes Short-term Complications,1,"11,686",8.6
2018,Mono,1,Diabetes Short-term Complications,3,"11,760",25.5
2019,Mono,1,Diabetes Short-term Complications,5,"11,882",42.1
2020,Mono,1,Diabetes Short-term Complications,0,"10,909",0.0
2021,Mono,1,Diabetes Short-term Complications,6,"10,984",54.6
2022,Mono,1,Diabetes Short-term Complications,5,"10,782",46.4
2016,Mono,3,Diabetes Long-term Complications,5,"11,591",43.1
2017,Mono,3,Diabetes Long-term Complications,5,"11,686",42.8
2018,Mono,3,Diabetes Long-term Complications,1,"11,760",8.5
2019,Mono,3,Diabetes Long-term Complications,4,"11,882",33.7
2020,Mono,3,Diabetes Long-term Complications,6,"10,910",55.0
2021,Mono,3,Diabetes Long-term Complications,3,"10,984",27.3
2022,Mono,3,Diabetes Long-term Complications,4,"10,782",37.1
2016,Mono,14,Uncontrolled Diabetes,0,"11,591",0.0
2017,Mono,14,Uncontrolled Diabetes,1,"11,686",8.6
2018,Mono,14,Uncontrolled Diabetes,2,"11,760",17.0
2019,Mono,14,Uncontrolled Diabetes,1,"11,882",8.4
2020,Mono,14,Uncontrolled Diabetes,0,"10,909",0.0
2021,Mono,14,Uncontrolled Diabetes,2,"10,984",18.2
2022,Mono,14,Uncontrolled Diabetes,0,"10,782",0.0
2016,Mono,93,Diabetes Composite,8,"11,591",69.0
2017,Mono,93,Diabetes Composite,7,"11,686",59.9
2018,Mono,93,Diabetes Composite,6,"11,760",51.0
2019,Mono,93,Diabetes Composite,10,"11,882",84.2
2020,Mono,93,Diabetes Composite,8,"10,910",73.3
2021,Mono,93,Diabetes Composite,11,"10,984",100.1
2022,Mono,93,Diabetes Composite,11,"10,782",102.0
2016,Monterey,1,Diabetes Short-term Complications,167,"318,887",52.4
2017,Monterey,1,Diabetes Short-term Complications,157,"319,394",49.2
2018,Monterey,1,Diabetes Short-term Complications,168,"319,764",52.5
2019,Monterey,1,Diabetes Short-term Complications,156,"320,591",48.7
2020,Monterey,1,Diabetes Short-term Complications,164,"324,926",50.5
2021,Monterey,1,Diabetes Short-term Complications,192,"325,443",59.0
2022,Monterey,1,Diabetes Short-term Complications,212,"322,881",65.7
2016,Monterey,3,Diabetes Long-term Complications,233,"318,887",73.1
2017,Monterey,3,Diabetes Long-term Complications,325,"319,394",101.8
2018,Monterey,3,Diabetes Long-term Complications,344,"319,764",107.6
2019,Monterey,3,Diabetes Long-term Complications,349,"320,591",108.9
2020,Monterey,3,Diabetes Long-term Complications,286,"324,926",88.0
2021,Monterey,3,Diabetes Long-term Complications,304,"325,443",93.4
2022,Monterey,3,Diabetes Long-term Complications,324,"322,881",100.3
2016,Monterey,14,Uncontrolled Diabetes,113,"318,887",35.4
2017,Monterey,14,Uncontrolled Diabetes,98,"319,394",30.7
2018,Monterey,14,Uncontrolled Diabetes,113,"319,764",35.3
2019,Monterey,14,Uncontrolled Diabetes,116,"320,591",36.2
2020,Monterey,14,Uncontrolled Diabetes,75,"324,926",23.1
2021,Monterey,14,Uncontrolled Diabetes,93,"325,443",28.6
2022,Monterey,14,Uncontrolled Diabetes,108,"322,881",33.4
2016,Monterey,93,Diabetes Composite,557,"318,887",174.7
2017,Monterey,93,Diabetes Composite,617,"319,394",193.2
2018,Monterey,93,Diabetes Composite,667,"319,764",208.6
2019,Monterey,93,Diabetes Composite,663,"320,591",206.8
2020,Monterey,93,Diabetes Composite,569,"324,926",175.1
2021,Monterey,93,Diabetes Composite,648,"325,443",199.1
2022,Monterey,93,Diabetes Composite,694,"322,881",214.9
2016,Napa,1,Diabetes Short-term Complications,43,"110,813",38.8
2017,Napa,1,Diabetes Short-term Complications,47,"110,539",42.5
2018,Napa,1,Diabetes Short-term Complications,49,"110,023",44.5
2019,Napa,1,Diabetes Short-term Complications,58,"109,823",52.8
2020,Napa,1,Diabetes Short-term Complications,53,"110,025",48.2
2021,Napa,1,Diabetes Short-term Complications,49,"109,635",44.7
2022,Napa,1,Diabetes Short-term Complications,46,"108,501",42.4
2016,Napa,3,Diabetes Long-term Complications,88,"110,813",79.4
2017,Napa,3,Diabetes Long-term Complications,72,"110,539",65.1
2018,Napa,3,Diabetes Long-term Complications,96,"110,023",87.3
2019,Napa,3,Diabetes Long-term Complications,84,"109,823",76.5
2020,Napa,3,Diabetes Long-term Complications,79,"110,025",71.8
2021,Napa,3,Diabetes Long-term Complications,65,"109,635",59.3
2022,Napa,3,Diabetes Long-term Complications,60,"108,501",55.3
2016,Napa,14,Uncontrolled Diabetes,23,"110,813",20.8
2017,Napa,14,Uncontrolled Diabetes,19,"110,539",17.2
2018,Napa,14,Uncontrolled Diabetes,22,"110,023",20.0
2019,Napa,14,Uncontrolled Diabetes,25,"109,823",22.8
2020,Napa,14,Uncontrolled Diabetes,16,"110,025",14.5
2021,Napa,14,Uncontrolled Diabetes,24,"109,635",21.9
2022,Napa,14,Uncontrolled Diabetes,14,"108,501",12.9
2016,Napa,93,Diabetes Composite,166,"110,813",149.8
2017,Napa,93,Diabetes Composite,150,"110,539",135.7
2018,Napa,93,Diabetes Composite,182,"110,023",165.4
2019,Napa,93,Diabetes Composite,186,"109,823",169.4
2020,Napa,93,Diabetes Composite,165,"110,025",150.0
2021,Napa,93,Diabetes Composite,149,"109,635",135.9
2022,Napa,93,Diabetes Composite,138,"108,501",127.2
2016,Nevada,1,Diabetes Short-term Complications,55,"81,656",67.4
2017,Nevada,1,Diabetes Short-term Complications,44,"82,237",53.5
2018,Nevada,1,Diabetes Short-term Complications,53,"82,386",64.3
2019,Nevada,1,Diabetes Short-term Complications,55,"82,691",66.5
2020,Nevada,1,Diabetes Short-term Complications,36,"84,957",42.4
2021,Nevada,1,Diabetes Short-term Complications,32,"86,140",37.1
2022,Nevada,1,Diabetes Short-term Complications,43,"85,163",50.5
2016,Nevada,3,Diabetes Long-term Complications,31,"81,656",38.0
2017,Nevada,3,Diabetes Long-term Complications,39,"82,237",47.4
2018,Nevada,3,Diabetes Long-term Complications,31,"82,386",37.6
2019,Nevada,3,Diabetes Long-term Complications,34,"82,691",41.1
2020,Nevada,3,Diabetes Long-term Complications,37,"84,957",43.6
2021,Nevada,3,Diabetes Long-term Complications,43,"86,140",49.9
2022,Nevada,3,Diabetes Long-term Complications,60,"85,163",70.5
2016,Nevada,14,Uncontrolled Diabetes,15,"81,656",18.4
2017,Nevada,14,Uncontrolled Diabetes,25,"82,237",30.4
2018,Nevada,14,Uncontrolled Diabetes,11,"82,386",13.4
2019,Nevada,14,Uncontrolled Diabetes,11,"82,691",13.3
2020,Nevada,14,Uncontrolled Diabetes,14,"84,957",16.5
2021,Nevada,14,Uncontrolled Diabetes,15,"86,140",17.4
2022,Nevada,14,Uncontrolled Diabetes,23,"85,163",27.0
2016,Nevada,93,Diabetes Composite,113,"81,656",138.4
2017,Nevada,93,Diabetes Composite,110,"82,237",133.8
2018,Nevada,93,Diabetes Composite,99,"82,386",120.2
2019,Nevada,93,Diabetes Composite,107,"82,691",129.4
2020,Nevada,93,Diabetes Composite,94,"84,957",110.6
2021,Nevada,93,Diabetes Composite,100,"86,140",116.1
2022,Nevada,93,Diabetes Composite,141,"85,163",165.6
2016,Orange,1,Diabetes Short-term Complications,"1,065","2,451,869",43.4
2017,Orange,1,Diabetes Short-term Complications,939,"2,467,473",38.1
2018,Orange,1,Diabetes Short-term Complications,"1,021","2,477,165",41.2
2019,Orange,1,Diabetes Short-term Complications,"1,026","2,481,860",41.3
2020,Orange,1,Diabetes Short-term Complications,989,"2,500,521",39.6
2021,Orange,1,Diabetes Short-term Complications,"1,018","2,492,420",40.8
2022,Orange,1,Diabetes Short-term Complications,"1,017","2,496,667",40.7
2016,Orange,3,Diabetes Long-term Complications,"1,629","2,451,869",66.4
2017,Orange,3,Diabetes Long-term Complications,"1,911","2,467,473",77.4
2018,Orange,3,Diabetes Long-term Complications,"1,898","2,477,165",76.6
2019,Orange,3,Diabetes Long-term Complications,"1,990","2,481,860",80.2
2020,Orange,3,Diabetes Long-term Complications,"1,683","2,500,521",67.3
2021,Orange,3,Diabetes Long-term Complications,"1,789","2,492,420",71.8
2022,Orange,3,Diabetes Long-term Complications,"2,105","2,496,667",84.3
2016,Orange,14,Uncontrolled Diabetes,667,"2,451,869",27.2
2017,Orange,14,Uncontrolled Diabetes,666,"2,467,473",27.0
2018,Orange,14,Uncontrolled Diabetes,600,"2,477,165",24.2
2019,Orange,14,Uncontrolled Diabetes,642,"2,481,860",25.9
2020,Orange,14,Uncontrolled Diabetes,526,"2,500,521",21.0
2021,Orange,14,Uncontrolled Diabetes,476,"2,492,420",19.1
2022,Orange,14,Uncontrolled Diabetes,570,"2,496,667",22.8
2016,Orange,93,Diabetes Composite,"3,552","2,451,869",144.9
2017,Orange,93,Diabetes Composite,"3,741","2,467,473",151.6
2018,Orange,93,Diabetes Composite,"3,755","2,477,165",151.6
2019,Orange,93,Diabetes Composite,"3,861","2,481,860",155.6
